a	ə
il·luminarà	i . l u . m i . n ə . ɾ ˈa
il·luminar-se	i . l u . m i . n ˈa ɾ s ə
il·luminat	i . l u . m i . n ˈa t
il·luminats	i . l u . m i . n ˈa t s
il·luminava	i . l u . m i . n ˈa . b ə
il·luminaven	i . l u . m i . n ˈa . b ə n
il·lusió	i . l u . z i . ˈo
il·lusionada	i . l u . z i . u . n ˈa . ð ə
il·lusionat:	i . l u . z i . u . n ˈa t_:
il·lusionat:	i . l u . z i . u . n ˈa t_
il·lusions	i . l u . z i . ˈo n s
il·lusori	i . l u . z ˈɔ . ɾ i
il·lustracions	i . l u s . t ɾ ə . s i . ˈo n s
il·lustrar	i . l u s . t ɾ ˈa
il·lustre	i . l ˈu s . t ɾ ə
il·lustres	i . l ˈu s . t ɾ ə s
il·lustri	i . l ˈu s . t ɾ i
illa	ˈi . ʎ ə
illes	ˈi . ʎ ə s
illot	i . ʎ ˈɔ t
imagina	i . m ə . ʒ ˈi . n ə
imaginables	i . m ə . ʒ i . n ˈa . β l ə s
imaginació	i . m ə . ʒ i . n ə . s i . ˈo
imaginar	i . m ə . ʒ i . n ˈa
imaginar-me	i . m ə . ʒ i . n ˈa ɾ m ə
imaginar-se	i . m ə . ʒ i . n ˈa ɾ s ə
imagina't	i . m ə . ʒ ˈi . n ə t
imaginava	i . m ə . ʒ i . n ˈa . b ə
imaginària	i . m ə . ʒ i . n ˈa . ɾ i . ə
imaginem	i . m ə . ʒ i . n ˈɛ m
imagineu-vos	i . m ə . ʒ i . n ˈe w b u s
imagino	i . m ə . ʒ ˈi . n u
imant	i . m ˈa n 
imatge	i . m ˈa d . ʒ ə
imatges	i . m ˈa d . ʒ ə s
imbècil	i m . b ˈɛ . s i l
imbevible	i m . b ə . β ˈi . β l ə
imitant	i . m i . t ˈa n 
imitar-lo	i . m i . t ˈa ɾ l u
imma	ˈi m . m ə
immòbil	i m . m ˈɔ . β i l
immadur	i m . m ə . ð ˈu
immaterial	i m . m ə . t ə . ɾ i . ˈa l
immediat	i m . m ə . ð i . ˈa t
immediatament	i m . m ə . ð i . ˈa . t ə . m ˈe n 
immens	i m . m ˈɛ n s
immensa	i m . m ˈɛ n . s ə
immensament	i m . m ˈɛ n . s ə . m ˈe n 
immenses	i m . m ˈɛ n . s ə s
immensitat	i m . m ə n . s i . t ˈa t
immers	i m . m ˈe ɾ s
immersió	i m . m ə ɾ . s i . ˈo
immigració	i m . m i . ɣ ɾ ə . s i . ˈo
immigrant	i m . m i . ɣ ɾ ˈa n 
immigrants	i m . m i . ɣ ɾ ˈa n s
imminentment	i m . m i . n ˈe n d . m ˈe n 
immobiliari	i m . m u . β i . l i . ˈa . ɾ i
immobiliàries	i m . m u . β i . l i . ˈa . ɾ i . ə s
immoble	i m . m ˈo . b l ə
immobles	i m . m ˈo . b l ə s
immortalitzava	i m . m u ɾ . t ə . l i d . z ˈa . b ə
immunodeficiència	i m . m u . n u . ð ə . f i . s i . ˈɛ n . s i . ə
immutable	i m . m u . t ˈa . β l ə
immutàrem	i m . m u . t ˈa . ɾ ə m
impaciència	i m . p ə . s i . ˈɛ n . s i . ə
impacient	i m . p ə . s i . ˈe n 
impacta	i m . p ˈa k . t ə
impacte	i m . p ˈa k . t ə
imparable	i m . p ə . ɾ ˈa . β l ə
impartint	i m . p ə ɾ . t ˈi n 
impartir	i m . p ə ɾ . t ˈi
impecablement	i m . p ə . k ˈa . β l ə . m ˈe n 
impedí	i m . p ə . ð ˈi
impedia	i m . p ə . ð ˈi . ə
impediments	i m . p ə . ð i . m ˈe n s
impedir	i m . p ə . ð ˈi
impenetrable	i m . p ə . n ə . t ɾ ˈa . β l ə
imperava	i m . p ə . ɾ ˈa . b ə
imperfecte	i m . p ə ɾ . f ˈe k . t ə
imperi	i m . p ˈɛ . ɾ i
impermeabilització	i m . p ə ɾ . m e . ə . β i . l i d . z ə . s i . ˈo
impermeables	i m . p ə ɾ . m e . ˈa . β l ə s
implantar	i m . p l ə n . t ˈa
implantar-se	i m . p l ə n . t ˈa ɾ s ə
implementa	i m . p l ə . m ˈe n . t ə
implica	i m . p l ˈi . k ə
implicació	i m . p l i . k ə . s i . ˈo
implicats	i m . p l i . k ˈa t s
implicava	i m . p l i . k ˈa . b ə
impliquen	i m . p l ˈi . k ə n
import	i m . p ˈɔ ɾ t
importa	i m . p ˈɔ ɾ . t ə
importadores	i m . p u ɾ . t ə . d ˈo . ɾ ə s
important	i m . p u ɾ . t ˈa n 
importants	i m . p u ɾ . t ˈa n s
importar	i m . p u ɾ . t ˈa
importava	i m . p u ɾ . t ˈa . b ə
importància	i m . p u ɾ . t ˈa n . s i . ə
imposar	i m . p u . z ˈa
imposat	i m . p u . z ˈa t
impossible	i m . p u . s ˈi . β l ə
impossibles	i m . p u . s ˈi . β l ə s
impost	i m . p ˈɔ s t
impostos	i m . p ˈɔ s . t u s
impotència	i m . p u . t ˈɛ n . s i . ə
impregnant	i m . p ɾ ə g . n ˈa n 
impregnaven	i m . p ɾ ə g . n ˈa . b ə n
impresa	i m . p ɾ ˈɛ . z ə
imprescindible	i m . p ɾ ə s . s i n . d ˈi . β l ə
impresos	i m . p ɾ ˈɛ . z u s
impressió	i m . p ɾ ə . s i . ˈo
impressionant	i m . p ɾ ə . s i . u . n ˈa n 
impressionants	i m . p ɾ ə . s i . u . n ˈa n s
impressionista	i m . p ɾ ə . s i . u . n ˈi s . t ə
impressora	i m . p ɾ ə . s ˈo . ɾ ə
impressores	i m . p ɾ ə . s ˈo . ɾ ə s
imprevisible	i m . p ɾ ə . β i . z ˈi . β l ə
imprimíssim	i m . p ɾ i . m ˈi . s i m
imprimeix	i m . p ɾ i . m ˈɛ ʃ
imprimir	i m . p ɾ i . m ˈi
improbable	i m . p ɾ u . β ˈa . β l ə
improcedent	i m . p ɾ u . s ə . d ˈe n 
improvisats	i m . p ɾ u . β i . z ˈa t s
impuls	i m . p ˈu l s
impulsada	i m . p u l . s ˈa . ð ə
impulsar	i m . p u l . s ˈa
impulsats	i m . p u l . s ˈa t s
impulsen	i m . p ˈu l . s ə n
impulsivament	i m . p u l . s ˈi . β ə . m ˈe n 
impunes	i m . p ˈu . n ə s
imputen	i m . p ˈu . t ə n
inacabable	i . n ə . k ə . β ˈa . β l ə
inacabada	i . n ə . k ə . β ˈa . ð ə
inactiu	i . n ə k . t ˈi w
inútil	i . n ˈu . t i l
inapreciable	i . n ə . p ɾ ə . s i . ˈa . β l ə
inaugurar	i . n ə w . ɣ u . ɾ ˈa
inauguràrem	i . n ə w . ɣ u . ɾ ˈa . ɾ ə m
inca	ˈi n . k ə
incògnit	i n . k ˈɔ g . n i t
incògnites	i n . k ˈɔ g . n i . t ə s
incòmoda	i n . k ˈɔ . m u . ð ə
incòmode	i n . k ˈɔ . m u . ð ə
incansable	i n . k ə n . s ˈa . β l ə
incapaç	i n . k ə . p ˈa s
incapaços	i n . k ə . p ˈa . s u s
incívic	i n . s ˈi . β i k
incívica	i n . s ˈi . β i . k ə
incendi	i n . s ˈɛ n . d i
incendiaren	i n . s ə n . d i . ˈa . ɾ ə n
incendis	i n . s ˈɛ n . d i s
incentiu	i n . s ə n . t ˈi w
incerteses	i n . s ə ɾ . t ˈɛ . z ə s
incerts	i n . s ˈɛ ɾ s
incidència	i n . s i . ð ˈɛ n . s i . ə
incidències	i n . s i . ð ˈɛ n . s i . ə s
incideixi	i n . s i . d ˈɛ ʃ i
incidents	i n . s i . d ˈe n s
incipient	i n . s i . p i . ˈe n 
incitava	i n . s i . t ˈa . b ə
incivisme	i n . s i . β ˈi s . m ə
inclòs	i n . k l ˈɔ s
inclús	i n . k l ˈu s
inclinada	i n . k l i . n ˈa . ð ə
inclinar	i n . k l i . n ˈa
inclinat	i n . k l i . n ˈa t
inclino	i n . k l ˈi . n u
inclosa	i n . k l ˈɔ . z ə
incloses	i n . k l ˈɔ . z ə s
inclou	i n . k l ˈɔ w
inclouen	i n . k l ˈɔ . w ə n
inclourà	i n . k l ɔ w . ɾ ˈa
incloure	i n . k l ˈɔ w . ɾ ə
incloure-les	i n . k l ˈɔ w . ɾ ə l ə s
incloure'ls	i n . k l ˈɔ w . ɾ ə l s
inclusió	i n . k l u . z i . ˈo
incoherents	i n . k u ə . ɾ ˈe n s
incomoda	i n . k u . m ˈɔ . d ə
incomoditat	i n . k u . m u . ð i . t ˈa t
incompatibilitats	i n . k u m . p ə . t i . β i . l i . t ˈa t s
incompleta	i n . k u m . p l ˈɛ . t ə
incomprès	i n . k u m . p ɾ ˈɛ s
incomprensió	i n . k u m . p ɾ ə n . s i . ˈo
incondicionalment	i n . k u n . d i . s i . u . n ˈa l . m ˈe n 
inconscient	i n . k u n s . s i . ˈe n 
inconscientment	i n . k u n s . s i . ˈe n d . m ˈe n 
inconsistència	i n . k u n . s i s . t ˈɛ n . s i . ə
inconstant	i n . k u n s . t ˈa n 
incontrolable	i n . k u n . t ɾ u . l ˈa . β l ə
incorpora	i n . k u ɾ . p ˈo . ɾ ə
incorporació	i n . k u ɾ . p u . ɾ ə . s i . ˈo
incorporar	i n . k u ɾ . p u . ɾ ˈa
incorporat	i n . k u ɾ . p u . ɾ ˈa t
incorporem	i n . k u ɾ . p u . ɾ ˈɛ m
incorrecta	i n . k u . r ˈɛ k . t ə
incorrecte	i n . k u . r ˈɛ k . t ə
incorregible	i n . k u . r ə . ʒ ˈi . β l ə
incrèdul	i n . k ɾ ˈɛ . ð u l
increïble	i n . k ɾ ə . ˈi . β l ə
incredulitat	i n . k ɾ ə . ð u . l i . t ˈa t
incremental	i n . k ɾ ə . m ə n . t ˈa l
incrementant	i n . k ɾ ə . m ə n . t ˈa n 
incrementar	i n . k ɾ ə . m ə n . t ˈa
incrustacions	i n . k ɾ u s . t ə . s i . ˈo n s
incrustat	i n . k ɾ u s . t ˈa t
incrustats	i n . k ɾ u s . t ˈa t s
incubació	i n . k u . β ə . s i . ˈo
inculta	i n . k ˈu l . t ə
incursions	i n . k u ɾ . s i . ˈo n s
indòmita	i n . d ˈɔ . m i . t ə
indagacions	i n . d ə . ɣ ə . s i . ˈo n s
indústria	i n . d ˈu s . t ɾ i . ə
indecisa	i n . d ə . s ˈi . z ə
indefinit	i n . d ə . f i . n ˈi t
indeguts	i n . d ə . ɣ ˈu t s
indemnitzacions	i n . d ə m . n i d . z ə . s i . ˈo n s
independència	i n . d ə . p ə n . d ˈɛ n . s i . ə
independent	i n . d ə . p ə n . d ˈe n 
independents	i n . d ə . p ə n . d ˈe n s
independitzar-se	i n . d ə . p ə n . d i d . z ˈa ɾ s ə
indescriptible	i n . d ə s . k ɾ i p . t ˈi . β l ə
indesitjables	i n . d ə . z i t . ʒ ˈa . β l ə s
indexa	i n . d ˈɛ k . s ə
indexació	i n . d ə k . s ə . s i . ˈo
indi	ˈi n . d i
indica	i n . d ˈi . k ə
indicació	i n . d i . k ə . s i . ˈo
indicacions	i n . d i . k ə . s i . ˈo n s
indicador	i n . d i . k ə . d ˈo
indicar	i n . d i . k ˈa
indicar-me	i n . d i . k ˈa ɾ m ə
indicat	i n . d i . k ˈa t
indicats	i n . d i . k ˈa t s
indiferència	i n . d i . f ə . ɾ ˈɛ n . s i . ə
indiferent	i n . d i . f ə . ɾ ˈe n 
indiqui	i n . d ˈi . k i
indirecta	i n . d i . ɾ ˈɛ k . t ə
individu	i n . d i . β ˈi . ð u
individual	i n . d i . β i . ð u . ˈa l
individualista	i n . d i . β i . ð u . ə . l ˈi s . t ə
individualitzada	i n . d i . β i . ð u . ə . l i d . z ˈa . ð ə
individualment	i n . d i . β i . ð u . ˈa l . m ˈe n 
individuals	i n . d i . β i . ð u . ˈa l s
individus	i n . d i . β ˈi . ð u s
indolència	i n . d u . l ˈɛ n . s i . ə
indonèsia	i n . d u . n ˈɛ . z i . ə
indret	i n . d ɾ ˈɛ t
indrets	i n . d ɾ ˈɛ t s
inducció	i n . d u k . s i . ˈo
indulgent	i n . d u l . ʒ ˈe n 
indumentària	i n . d u . m ə n . t ˈa . ɾ i . ə
industrial	i n . d u s . t ɾ i . ˈa l
ineficàcia	i . n ə . f i . k ˈa . s i . ə
inesperada	i . n ə s . p ə . ɾ ˈa . ð ə
inevitable	i . n ə . β i . t ˈa . β l ə
inevitablement	i . n ə . β i . t ˈa . β l ə . m ˈe n 
inexactes	i . n ə g . z ˈa k . t ə s
inexorablement	i . n ə g . z u . ɾ ˈa . β l ə . m ˈe n 
inexplicablement	i . n ə k s . p l i . k ˈa . β l ə . m ˈe n 
inexpressiva	i . n ə k s . p ɾ ə . s ˈi . β ə
infant	i m . f ˈa n 
infantesa	i m . f ə n . t ˈɛ . z ə
infantil	i m . f ə n . t ˈi l
infantils	i m . f ə n . t ˈi l s
infants	i m . f ˈa n s
infàmies	i m . f ˈa . m i . ə s
infància	i m . f ˈa n . s i . ə
infecció	i m . f ə k . s i . ˈo
infeccions	i m . f ə k . s i . ˈo n s
infectades	i m . f ə k . t ˈa . ð ə s
inferior	i m . f ə . ɾ i . ˈo ɾ
infermera	i m . f ə ɾ . m ˈe . ɾ ə
infermeres	i m . f ə ɾ . m ˈe . ɾ ə s
infern	i m . f ˈɛ ɾ n
infidel	i m . f i . d ˈɛ l
infidels	i m . f i . d ˈɛ l s
infinita	i m . f i . n ˈi . t ə
infinitat	i m . f i . n i . t ˈa t
infinites	i m . f i . n ˈi . t ə s
infinits	i m . f i . n ˈi t s
inflada	i m . f l ˈa . ð ə
inflamable	i m . f l ə . m ˈa . β l ə
inflamatòria	i m . f l ə . m ə . t ˈɔ . ɾ i . ə
inflant	i m . f l ˈa n 
inflar	i m . f l ˈa
inflexibles	i m . f l ə k . s ˈi . β l ə s
infligir	i m . f l i . ʒ ˈi
influència	i m . f l u . ˈɛ n . s i . ə
influències	i m . f l u . ˈɛ n . s i . ə s
influeix	i m . f l u . ˈɛ ʃ
influeixi	i m . f l u . ˈɛ ʃ i
influent	i m . f l u . ˈe n 
influents	i m . f l u . ˈe n s
info	ˈi m . f u
informa	i m . f ˈo ɾ . m ə
informació	i m . f u ɾ . m ə . s i . ˈo
informacions	i m . f u ɾ . m ə . s i . ˈo n s
informar	i m . f u ɾ . m ˈa
informàtic	i m . f u ɾ . m ˈa . t i k
informàtica	i m . f u ɾ . m ˈa . t i . k ə
informàtics	i m . f u ɾ . m ˈa . t i k s
informe	i m . f ˈo ɾ . m ə
informes	i m . f ˈo ɾ . m ə s
informi	i m . f ˈo ɾ . m i
infraccions	ˌi m . f ɾ ə k . s i . ˈo n s
infraestructura	ˌi m . f ɾ ə . e s . t ɾ u k . t ˈu . ɾ ə
infrarojos	ˌi m . f ɾ ə . ɾ ˈɔ . ʒ u s
infringit	i m . f ɾ i n . ʒ ˈi t
infusió	i m . f u . z i . ˈo
ingerit	i n . ʒ ə . ɾ ˈi t
ingrés	i n . g ɾ ˈe s
ingràvid	i n . g ɾ ˈa . b i t
ingressar	i n . g ɾ ə . s ˈa
ingressats	i n . g ɾ ə . s ˈa t s
ingresses	i n . g ɾ ˈɛ . s ə s
ingressos	i n . g ɾ ˈe . s u s
inhabilitar	i n ə . β i . l i . t ˈa
inhabilitaria	i n ə . β i . l i . t ə . ɾ ˈi . ə
inhabilitar-ne	i n ə . β i . l i . t ˈa ɾ n ə
inhalo	i n ˈa . l u
inhumana	i n u . m ˈa . n ə
inici	i . n ˈi . s i
inicia	i . n i . s ˈi . ə
inicial	i . n i . s i . ˈa l
inicialitzar	i . n i . s i . ə . l i d . z ˈa
iniciant	i . n i . s i . ˈa n 
iniciar	i . n i . s i . ˈa
iniciar-se	i . n i . s i . ˈa ɾ s ə
iniciat	i . n i . s i . ˈa t
iniciativa	i . n i . s i . ə . t ˈi . β ə
iniciàtics	i . n i . s i . ˈa . t i k s
inicien	i . n i . s ˈi . ə n
injecció	i n . ʒ ə k . s i . ˈo
injust	i n . ʒ ˈu s t
injusta	i n . ʒ ˈu s . t ə
injustícia	i n . ʒ u s . t ˈi . s i . ə
inmunodeficiència	i m . m u . n u . ð ə . f i . s i . ˈɛ n . s i . ə
inna	ˈi . n ə
innocència	i . n u . s ˈɛ n . s i . ə
innocent	i . n u . s ˈe n 
innombrables	i . n u m . b ɾ ˈa . β l ə s
innovació	i . n u . β ə . s i . ˈo
innovadores	i . n u . β ə . d ˈo . ɾ ə s
inoblidable	i . n u . β l i . ð ˈa . β l ə
inoportunes	i . n u . p u ɾ . t ˈu . n ə s
inquiet	i n . k j ˈe t
inquiets	i n . k j ˈe t s
inquietud	i n . k i . ə . t ˈu t
inquilins	i n . k i . l ˈi n s
inrevés	i n . r ə . β ˈe s
insòlit	i n . s ˈɔ . l i t
insalvable	i n . s ə l . b ˈa . β l ə
insatisfacció	i n . s ə . t i s . f ə k . s i . ˈo
insatisfeta	i n . s ə . t i s . f ˈe . t ə
insatisfets	i n . s ə . t i s . f ˈe t s
inscripció	i n s . k ɾ i p . s i . ˈo
insectívor	i n . s ə k . t ˈi . β u
insectes	i n . s ˈe k . t ə s
insegur	i n . s ə . ɣ ˈu
insegura	i n . s ə . ɣ ˈu . ɾ ə
inseminació	i n . s ə . m i . n ə . s i . ˈo
inseparables	i n . s ə . p ə . ɾ ˈa . β l ə s
inseriu	i n . s ə . ɾ ˈi w
inseriu-ne	i n . s ə . ɾ ˈi w n ə
insignificant	i n . s i g . n i . f i . k ˈa n 
insisteix	i n . s i s . t ˈɛ ʃ
insisteixi	i n . s i s . t ˈɛ ʃ i
insistent	i n . s i s . t ˈe n 
insistentment	i n . s i s . t ˈe n d . m ˈe n 
insistint	i n . s i s . t ˈi n 
insistir	i n . s i s . t ˈi
insofrible	i n . s u . f ɾ ˈi . β l ə
insolència	i n . s u . l ˈɛ n . s i . ə
insomni	i n . s ˈo m . n i
inspeccionant-la	i n s . p ə k . s i . u . n ˈa n l ə
inspeccionar-la	i n s . p ə k . s i . u . n ˈa ɾ l ə
inspector	i n s . p ə k . t ˈo
inspiració	i n s . p i . ɾ ə . s i . ˈo
inspirada	i n s . p i . ɾ ˈa . ð ə
inspirar	i n s . p i . ɾ ˈa
inspiro	i n s . p ˈi . ɾ u
instal·lació	i n s . t ə . l ə . s i . ˈo
instal·lada	i n s . t ə . l ˈa . ð ə
instal·lades	i n s . t ə . l ˈa . ð ə s
instal·larem	i n s . t ə . l ə . ɾ ˈɛ m
instal·lar-nos	i n s . t ə . l ˈa ɾ n u s
instal·lat	i n s . t ə . l ˈa t
instal·lem	i n s . t ə . l ˈɛ m
instal·len	i n s . t ˈa . l ə n
instant	i n s . t ˈa n 
instantanis	i n s . t ə n . t ˈa . n i s
instantània	i n s . t ə n . t ˈa . n i . ə
instants	i n s . t ˈa n s
instint	i n s . t ˈi n 
instintivament	i n s . t i n . t ˈi . β ə . m ˈe n 
institució	i n s . t i . t u . s i . ˈo
institucions	i n s . t i . t u . s i . ˈo n s
institut	i n s . t i . t ˈu t
instituts	i n s . t i . t ˈu t s
instrument	i n s . t ɾ u . m ˈe n
instrumental	i n s . t ɾ u . m ə n . t ˈa l
instruments	i n s . t ɾ u . m ˈe n s
insulsa	i n . s ˈu l . s ə
insultar	i n . s u l . t ˈa
insuportable	i n . s u . p u ɾ . t ˈa . β l ə
insurrecció	i n . s u . r ə k . s i . ˈo
intacta	i n . t ˈa k . t ə
intactes	i n . t ˈa k . t ə s
intangible	i n . t ə n . ʒ ˈi . β l ə
intèrpret	i n . t ˈɛ ɾ . p ɾ ə t
integració	i n . t ə . ɣ ɾ ə . s i . ˈo
integrada	i n . t ə . ɣ ɾ ˈa . ð ə
integradora	i n . t ə . ɣ ɾ ə . d ˈo . ɾ ə
integrants	i n . t ə . ɣ ɾ ˈa n s
integrat	i n . t ə . ɣ ɾ ˈa t
integrava	i n . t ə . ɣ ɾ ˈa . b ə
intel	i n . t ˈɛ l
intel·lectual	i n . t ə . l ə k . t u . ˈa l
intel·lectuals	i n . t ə . l ə k . t u . ˈa l s
intel·ligència	i n . t ə . l i . ʒ ˈɛ n . s i . ə
intel·ligent	i n . t ə . l i . ʒ ˈe n 
intel·ligentíssim	i n . t ə . l i . ʒ ə n . t ˈi . s i m
intenció	i n . t ə n . s i . ˈo
intencionats	i n . t ə n . s i . u . n ˈa t s
intencions	i n . t ə n . s i . ˈo n s
intens	i n . t ˈɛ n s
intensa	i n . t ˈɛ n . s ə
intensament	i n . t ˈɛ n . s ə . m ˈe n 
intensitat	i n . t ə n . s i . t ˈa t
intensiva	i n . t ə n . s ˈi . β ə
intensos	i n . t ˈɛ n . s u s
intent	i n . t ˈe n 
intenta	i n . t ˈe n . t ə
intentada	i n . t ə n . t ˈa . ð ə
intenta-ho	i n . t ˈe n . t ə u
intentant	i n . t ə n . t ˈa n 
intentant-ho	i n . t ə n . t ˈa n t u
intentar	i n . t ə n . t ˈa
intentarem	i n . t ə n . t ə . ɾ ˈɛ m
intentaren	i n . t ə n . t ˈa . ɾ ə n
intentar-ho	i n . t ə n . t ˈa ɾ u
intentés	i n . t ə n . t ˈe s
intentava	i n . t ə n . t ˈa . b ə
intentà	i n . t ə n . t ˈa
intentem	i n . t ə n . t ˈɛ m
intenten	i n . t ˈe n . t ə n
intentessis	i n . t ə n . t ˈe . s i s
intenteu	i n . t ə n . t ˈɛ w
intenti-ho	i n . t ˈe n . t i u
intento	i n . t ˈe n . t u
intents	i n . t ˈe n s
interaccionar	i n . t ə . ɾ ə k . s i . u . n ˈa
interactiu	i n . t ə . ɾ ə k . t ˈi w
interès	i n . t ə . ɾ ˈɛ s
intercanvi	i n . t ə ɾ . k ˈa m . b i
intercanvis	i n . t ə ɾ . k ˈa m . b i s
interconnectats	i n . t ə ɾ . k u . n ə k . t ˈa t s
intercranial	i n . t ə ɾ . k ɾ ə . n i . ˈa l
interdisciplinàri	i n . t ə ɾ . d i s . s i . p l i . n ˈa . ɾ i
interessa	i n . t ə . ɾ ˈɛ . s ə
interessada	i n . t ə . ɾ ə . s ˈa . ð ə
interessant	i n . t ə . ɾ ə . s ˈa n 
interessants	i n . t ə . ɾ ə . s ˈa n s
interessar-se	i n . t ə . ɾ ə . s ˈa ɾ s ə
interessés	i n . t ə . ɾ ə . s ˈe s
interessat	i n . t ə . ɾ ə . s ˈa t
interessats	i n . t ə . ɾ ə . s ˈa t s
interessava	i n . t ə . ɾ ə . s ˈa . b ə
interessin	i n . t ə . ɾ ˈe . s i n
interessos	i n . t ə . ɾ ˈe . s u s
interfície	i n . t ə ɾ . f ˈi . s i . ə
interferència	i n . t ə ɾ . f ə . ɾ ˈɛ n . s i . ə
interior	i n . t ə . ɾ i . ˈo ɾ
interiors	i n . t ə . ɾ i . ˈo ɾ s
intermèdies	i n . t ə ɾ . m ˈɛ . ð i . ə s
intermedi	i n . t ə ɾ . m ˈe . d i
intermediari	i n . t ə ɾ . m ə . ð i . ˈa . ɾ i
intern	i n . t ˈɛ ɾ n
interna	i n . t ˈɛ ɾ . n ə
internacional	i n . t ə ɾ . n ə . s i . u . n ˈa l
internacionals	i n . t ə ɾ . n ə . s i . u . n ˈa l s
internament	i n . t ə ɾ . n ə . m ˈe n
internautes	i n . t ə ɾ . n ˈa w . t ə s
internet	i n . t ə ɾ . n ˈɛ t
interpretació	i n . t ə ɾ . p ɾ ə . t ə . s i . ˈo
interpretacions	i n . t ə ɾ . p ɾ ə . t ə . s i . ˈo n s
interpretant	i n . t ə ɾ . p ɾ ə . t ˈa n 
interpretant-la	i n . t ə ɾ . p ɾ ə . t ˈa n l ə
interpretar	i n . t ə ɾ . p ɾ ə . t ˈa
interpretava	i n . t ə ɾ . p ɾ ə . t ˈa . b ə
interpretem	i n . t ə ɾ . p ɾ ə . t ˈɛ m
interrogant	i n . t ə . r u . ɣ ˈa n 
interrogant-los	i n . t ə . r u . ɣ ˈa n l u s
interrompen	i n . t ə . r ˈo m . p ə n
interrompre	i n . t ə . r ˈo m . p ɾ ə
intersecció	i n . t ə ɾ . s ə k . s i . ˈo
intervé	i n . t ə ɾ . b ˈe
intervals	i n . t ə ɾ . b ˈa l s
intervenció	i n . t ə ɾ . b ə n . s i . ˈo
intervencions	i n . t ə ɾ . b ə n . s i . ˈo n s
intestí	i n . t ə s . t ˈi
intimidada	i n . t i . m i . ð ˈa . ð ə
intimidar	i n . t i . m i . ð ˈa
intranquil·les	i n . t ɾ ə n . k ˈi . l ə s
intranquil·litat	i n . t ɾ ə n . k i . l i . t ˈa t
intranscendent	i n . t ɾ ə n s . s ə n . d ˈe n 
intrínsecs	i n . t ɾ ˈi n . s ə k s
intraoculars	i n . t ɾ ə . u . k u . l ˈa s
intriga	i n . t ɾ ˈi . ɣ ə
intrigada	i n . t ɾ i . ɣ ˈa . ð ə
intro	ˈi n . t ɾ u
introduït	i n . t ɾ u . ð u . ˈi t
introduïu	i n . t ɾ u . ð u . ˈi w
introducció	i n . t ɾ u . ð u k . s i . ˈo
introdueix	i n . t ɾ u . ð u . ˈɛ ʃ
introdueixi	i n . t ɾ u . ð u . ˈɛ ʃ i
introduir	i n . t ɾ u . ð u . ˈi
introduir-lo	i n . t ɾ u . ð u . ˈi ɾ l u
intuïa	i n . t u . ˈi . ə
intuït	i n . t u . ˈi t
intuïtiu	i n . t u . ˈi . t ˈi w
intueixo	i n . t u . ˈɛ ʃ u
intuir	i n . t u . ˈi
inundables	i . n u n . d ˈa . β l ə s
inutilitat	i . n u . t i . l i . t ˈa t
invalidesa	i m . b ə . l i . d ˈɛ . z ə
invasió	i m . b ə . z i . ˈo
invasions	i m . b ə . z i . ˈo n s
invàlid	i m . b ˈa . l i t
invent	i m . b ˈe n 
inventant-me	i m . b ə n . t ˈa n m ə
inventar	i m . b ə n . t ˈa
inventari	i m . b ə n . t ˈa . ɾ i
inventaris	i m . b ə n . t ˈa . ɾ i s
inventar-me	i m . b ə n . t ˈa ɾ m ə
inventat	i m . b ə n . t ˈa t
inversa	i m . b ˈe ɾ . s ə
inversemblant	i m . b ə ɾ . s ə m . b l ˈa n 
inverses	i m . b ˈe ɾ . s ə s
inversió	i m . b ə ɾ . s i . ˈo
inversions	i m . b ə ɾ . s i . ˈo n s
inversor	i m . b ə ɾ . s ˈo
inversors	i m . b ə ɾ . s ˈo s
invertit	i m . b ə ɾ . t ˈi t
investigació	i m . b ə s . t i . ɣ ə . s i . ˈo
investigacions	i m . b ə s . t i . ɣ ə . s i . ˈo n s
investigadors	i m . b ə s . t i . ɣ ə . d ˈo s
investigar	i m . b ə s . t i . ɣ ˈa
investigui	i m . b ə s . t ˈi . g i
invisible	i m . b i . z ˈi . β l ə
invitant	i m . b i . t ˈa n 
involucrats	i m . b u . l u . k ɾ ˈa t s
involuntaris	i m . b u . l u n . t ˈa . ɾ i s
ioga	j ˈɔ . g ə
iogurt	j u . ɣ ˈu ɾ t
iogurts	j u . ɣ ˈu ɾ s
ionqui	j ˈo n . k i
ionquis	j ˈo n . k i s
iot	j ˈɔ t
ira	ˈi . ɾ ə
iraq	i . ɾ ˈa . k u_
iraq	i . ɾ ˈa . k u_
irgalundra	i ɾ . g ə . l ˈu n . d ɾ ə
irlanda	i ɾ . l ˈa n . d ə
irlandesa	i ɾ . l ə n . d ˈɛ . z ə
ironia	i . ɾ u . n ˈi . ə
irracionalment	i . r ə . s i . u . n ˈa l . m ˈe n 
irreal	i . r e . ˈa l
irreals	i . r e . ˈa l s
irreconeixibles	i . r ə . k u . n ə ʃ ˈi . β l ə s
irrefutable	i . r ə . f u . t ˈa . β l ə
irrellevant	i . r ə . ʎ ə . b ˈa n 
irremeiablement	i . r ə . m ə . j ˈa . β l ə . m ˈe n 
irrepetibles	i . r ə . p ə . t ˈi . β l ə s
irrompre	i . r ˈo m . p ɾ ə
irrupció	i . r u p . s i . ˈo
isard	i . z ˈa ɾ t
islam	i s . l ˈa m
